Computer timestamp [um],ImagePath,Top left Screen Xcoord Pixel,Top left Screen Ycoord Pixel,Top right Screen Xcoord Pixel,TopRightY_Pixels,BottomRightX_Pixels,BottomRightY_Pixels,BottomLeftX_Pixels,Bottom left Screen Ycoord Pixel,GazeX_ImagePixels,GazeY_ImagePixels
7469173908,E:\For LLM Study\15468-a-13-1.svs,25673.768173441647,24154.05623490768,36757.85593134161,24154.05623490768,36757.85593134161,30872.465210318478,25673.768173441647,30872.465210318478,32792.5682411465,27352.09591201372
7469284139,E:\For LLM Study\15468-a-13-1.svs,25673.768173441647,24154.05623490768,36757.85593134161,24154.05623490768,36757.85593134161,30872.465210318478,25673.768173441647,30872.465210318478,32934.079854452204,27320.328283780185
7469394119,E:\For LLM Study\15468-a-13-1.svs,25673.768173441647,24154.05623490768,36757.85593134161,24154.05623490768,36757.85593134161,30872.465210318478,25673.768173441647,30872.465210318478,32935.823028945844,27346.044259491722
7469504291,E:\For LLM Study\15468-a-13-1.svs,23192.23171018107,22409.933751094715,39694.92799282751,22409.933751094715,39694.92799282751,32412.729221997455,23192.23171018107,32412.729221997455,32658.723523023487,27346.534816417443
7469615175,E:\For LLM Study\15468-a-13-1.svs,19497.562066455615,19813.173038009787,44067.82806810905,19813.173038009787,44067.82806810905,34705.97244913739,19497.562066455615,34705.97244913739,33779.08493836596,27027.117816302183
7469726379,E:\For LLM Study\15468-a-13-1.svs,19497.562066455615,19813.173038009787,44067.82806810905,19813.173038009787,44067.82806810905,34705.97244913739,19497.562066455615,34705.97244913739,36430.5494279424,27324.10501488026
7469837950,E:\For LLM Study\15468-a-13-1.svs,19497.562066455615,19813.173038009787,44067.82806810905,19813.173038009787,44067.82806810905,34705.97244913739,19497.562066455615,34705.97244913739,38645.3895080814,27460.381910781834
7469948964,E:\For LLM Study\15468-a-13-1.svs,19497.562066455615,19813.173038009787,44067.82806810905,19813.173038009787,44067.82806810905,34705.97244913739,19497.562066455615,34705.97244913739,37885.29685139563,27338.170609724148
7470060952,E:\For LLM Study\15468-a-13-1.svs,19520.386280112518,19653.403542411485,44090.65228176595,19653.403542411485,44090.65228176595,34546.20295353909,19520.386280112518,34546.20295353909,34824.33387385984,26540.331785946943
7470172071,E:\For LLM Study\15468-a-13-1.svs,20079.579514706573,17553.575885976632,44649.84551636,17553.575885976632,44649.84551636,32446.375297104234,20079.579514706573,32446.375297104234,34210.41950303456,24251.094463442656
7470283316,E:\For LLM Study\15468-a-13-1.svs,20148.052155677276,16777.552621642015,44718.31815733071,16777.552621642015,44718.31815733071,31670.352032769617,20148.052155677276,31670.352032769617,33286.54021182933,23040.786978664502
7470391890,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,32964.89627253824,23147.121409003645
7470503896,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,32024.367099292052,22037.40549018182
7470610261,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,31621.457327621527,21410.092488454116
7470719266,E:\For LLM Study\15468-a-13-1.svs,20159.46426250572,16766.14051481356,44729.73026415915,16766.14051481356,44729.73026415915,31658.939925941162,20159.46426250572,31658.939925941162,31615.284232282793,21401.636857459387
